n, dt
399, 0.005993
400, 0.005700
401, 0.005753
402, 0.005755
403, 0.005924
404, 0.005879
405, 0.005968
406, 0.005583
407, 0.006020
408, 0.005901
409, 0.005910
410, 0.005963
411, 0.006174
412, 0.006317
413, 0.005724
414, 0.005642
415, 0.006034
416, 0.006601
417, 0.006209
418, 0.006096
419, 0.005856
420, 0.006040
421, 0.005703
422, 0.006186
423, 0.006028
424, 0.006000
425, 0.006012
426, 0.005747
427, 0.006319
428, 0.005981
429, 0.005721
430, 0.005829
431, 0.005682
432, 0.006259
433, 0.006164
434, 0.006133
435, 0.006175
436, 0.005886
437, 0.005702
438, 0.005921
439, 0.006272
440, 0.005949
441, 0.005803
442, 0.006285
443, 0.006018
444, 0.006074
445, 0.006153
446, 0.005855
447, 0.005991
448, 0.006109
449, 0.006035
450, 0.005975
451, 0.005932
452, 0.006253
453, 0.006131
454, 0.006072
455, 0.006339
456, 0.006133
457, 0.005923
458, 0.006372
459, 0.005954
460, 0.006238
461, 0.005986
462, 0.005910
463, 0.006078
464, 0.006159
465, 0.006186
466, 0.005991
467, 0.005691
468, 0.006137
469, 0.006045
470, 0.006313
471, 0.006089
472, 0.005942
473, 0.006222
474, 0.005893
475, 0.005958
476, 0.005981
477, 0.006219
478, 0.006379
479, 0.006133
480, 0.006059
481, 0.006275
482, 0.006185
483, 0.006203
484, 0.005972
485, 0.005768
486, 0.005919
487, 0.005998
488, 0.005963
489, 0.005852
490, 0.005944
491, 0.006349
492, 0.006242
493, 0.006118
494, 0.006109
495, 0.005844
496, 0.006248
497, 0.005820
498, 0.006192
499, 0.006042
500, 0.006400
501, 0.005637
502, 0.005684
503, 0.005876
504, 0.005967
505, 0.006015
506, 0.006185
507, 0.006111
508, 0.006014
509, 0.006045
510, 0.006021
511, 0.006002
512, 0.005694
513, 0.006283
514, 0.006085
515, 0.006218
516, 0.006102
517, 0.005994
518, 0.006182
519, 0.006201
520, 0.006341
521, 0.005995
522, 0.005979
523, 0.005945
524, 0.006105
525, 0.006539
526, 0.005759
527, 0.005947
528, 0.005703
529, 0.005571
530, 0.005672
531, 0.005726
532, 0.005538
533, 0.005694
534, 0.005562
535, 0.005539
536, 0.005573
537, 0.005594
538, 0.005625
539, 0.005463
540, 0.005367
541, 0.005311
542, 0.005299
543, 0.005300
544, 0.005327
545, 0.005264
546, 0.005238
547, 0.005234
548, 0.007477
549, 0.005982
550, 0.005229
551, 0.005275
552, 0.005340
553, 0.005330
554, 0.005257
555, 0.005272
556, 0.005418
557, 0.005445
558, 0.005451
559, 0.005540
560, 0.005709
561, 0.005455
